# Number of particle, 5xrun, average
256	56.74	56.09	56.26	56.29	56.10	56.30	
484	95.03	95.13	95.02	94.80	94.89	94.97
1024	202.75	202.56	202.97	202.31	202.97	202.72
1936	358.34	358.81	357.91	358.25	359.12	358.49
3600	665.69	667.32	666.32	666.53	666.47	666.47
4096	766.69	767.30	767.27	766.62	767.08	766.99
7744	1437.89	1444.32	1445.35	1443.17	1475.54	1449.25
