# temp, pressure
0.741	0.00229
0.769	0.00321
0.800	0.00452
0.833	0.00633
0.870	0.00886
0.909	0.0124
0.952	0.0173
1.000	0.0242
1.053	0.0338
1.111	0.0471
1.176	0.0659
1.190	0.0723 # series r
1.205	0.0774 # series r
1.220	0.0830 # series r
1.235	0.0889 # series r
#1.250	0.0970 # series r
#1.250	0.0911
1.250	0.0952 # series t
1.266	0.1020 # series t
1.282	0.1094 # series t
1.299	0.1167 # series t
1.316	0.1240 # series t
